Year,C Fips,Count,Population,Ozone,PM2.5,Not Carcinogen,Carcinogen,Radon,Education,Poverty,Unemployed,Median Income,Alcohol,Health Status,Unhealthy Days,Uninsured,HIV,Hep B,Hep C,Cancer Rate,Superfund,Fracking,Medicare Population,Disabled Medicare,Work Disabled,Drug Use,Major Depression
2004,55,860,130387,0.0,260774.0,13134.5,0.0,0.993103448275862,26.4,10.1,8.4,112.7,79.5,16.7,6.6,13.287367605666208,6.912000000000001,13.056,66.05,0.6595749576261437,0.0,0.0,14.52982275840383,2.3706351093283837,2.431990919340118,6.858045664061602,5.371701166527338
2004,57,639,96512,3956992.0,193024.0,0.0,0.0,2.3653846153846154,26.1,12.4,9.88,89.4,79.2,19.8,7.2,12.73934847480106,3.089,2.06,115.337,0.6620938328912467,1.0,0.0,15.496518567639258,2.1085460875331563,5.750580238726791,7.044719827586207,5.6438577586206895
2004,59,13535,2941711,97076463.0,79426197.0,366782.8142,1042145.2338000002,0.6935483870967741,30.8,12.7,8.139999999999999,121.0,79.2,20.2,6.9,17.313869377379355,11.906,32.268,35.887,0.4601063802664504,2.0,0.0,9.563617908081385,0.9432265780017139,3.0276597531164686,6.708034881740592,5.120999309585476
2004,61,1781,302841,13022163.0,2422728.0,87453.3,24119.322999999997,0.9000000000000001,30.3,8.6,9.7,118.2,79.8,14.3,6.4,10.250923752067918,2.972,8.586,35.996,0.5880973844360572,0.0,0.0,11.786052747151144,1.4037068956977423,2.527729072351498,7.10868079289132,5.559683134053843
2004,63,138,21000,0.0,105000.0,166.0,0.0,1.318181818181818,17.5,13.8,15.580000000000002,72.6,78.9,21.7,6.8,14.795238095238094,4.785,0.0,95.698,0.6571428571428571,0.0,0.0,16.580952380952382,3.123809523809524,12.371428571428572,7.052380952380953,5.69047619047619
2004,65,8377,1856542,213502330.0,105822894.0,256741.793,16683.2431,0.2875,16.6,16.2,12.06,89.8,79.2,20.2,6.9,17.285253982942482,11.04,8.509,62.68600000000001,0.45121521624611777,3.0,0.0,10.39373200283107,1.4541012269046432,4.4946464987056585,7.14608126290706,5.178713974690581
2004,67,6165,1348932,44514756.0,22931844.0,166748.17,49205.45,0.938181818181818,24.8,16.9,10.68,91.1,79.2,20.2,6.9,14.69681199645349,10.798,43.11600000000001,73.274,0.4570282267749598,4.0,0.0,9.905391821085125,2.007439959909024,2.7878351169666074,6.766760666957267,5.074162374382104
2004,69,195,54849,274245.0,109698.0,2613.98,5.1,0.35,17.1,9.3,13.26,118.7,78.0,22.8,8.8,18.235519334901273,1.809,1.809,12.661,0.35552152272602966,1.0,0.0,7.701143138434611,1.1303761235391712,4.226148152199675,6.793195865011213,4.891611515250962
2004,71,7058,1899065,224089670.0,77861665.0,1428852.335283,529401.9409576,0.6764705882352942,15.9,18.9,11.7,83.0,79.2,20.2,6.9,18.52769652434224,9.946,14.050999999999998,119.25,0.37165657836882887,5.0,0.0,7.799364424071846,1.6393856976986043,3.0263840363547323,7.067899203028858,4.946539481271047
2004,73,14394,2930007,67390161.0,38090091.0,1091203.27,159489.4652277,0.6128205128205128,29.5,13.9,9.12,104.0,79.2,20.2,6.9,16.684806555069663,20.011,28.717,95.971,0.49126162497222703,1.0,0.0,10.60936031893439,1.3417032792071828,3.2365792982747137,6.85916450028959,5.092513430855285
2004,75,4074,761325,0.0,3806625.0,22574.0,1.13,0.5599999999999999,45.0,12.4,7.56,140.4,78.2,19.5,6.6,13.437493842971135,88.76700000000002,52.005,0.0,0.535119692641119,1.0,0.0,13.590779233573047,1.8871047187469216,3.4819558007421274,6.417889863067678,5.6869273963156335
2004,77,2578,642898,4500286.0,8357674.0,370579.731222,51558.04638,2.4863636363636363,14.5,17.5,14.48,82.7,78.2,19.5,6.6,17.09306919604665,12.999,24.431,119.965,0.4009967366518484,4.0,0.0,9.193526811407098,1.8979682624615413,2.4030250521855723,7.0147986150213555,5.016192304222443
2004,79,1650,256842,256842.0,1027368.0,156188.1,402.92,2.6733333333333333,26.7,14.4,8.5,95.8,78.2,20.4,7.4,14.404575575645728,3.869,9.285,105.616,0.6424182960730722,1.0,0.0,13.603304755452768,2.013300005450822,2.450144446780511,7.391703849058954,5.408383364091543
2004,81,3812,690161,0.0,4140966.0,7847.8499999999985,15752.878,0.7736842105263156,39.0,8.4,7.08,156.8,80.3,13.9,6.3,12.190488885926618,7.414,41.774,20.815,0.5523348899749478,0.0,0.0,12.22932040494899,1.1285772450196403,2.7980427755262904,6.516015828190813,5.344260252317937
2004,83,2038,407284,4480124.0,0.0,8772.349,5.08,1.5199999999999998,29.4,15.6,8.239999999999998,97.8,78.9,18.3,6.5,17.638060910814076,8.269,9.241,66.393,0.5003879356910657,1.0,0.0,12.093281346677012,1.7167381974248928,2.3362076585380227,7.01770754559472,5.045619273037978
2004,85,7268,1663167,6652668.0,24947505.0,270642.50324999995,95449.163,1.4012987012987017,40.5,8.3,8.84,158.5,79.2,20.2,6.9,11.839941509180978,9.665,83.74,45.73,0.43699760757638895,13.0,0.0,9.401220683190562,1.0075356233018091,2.540514572499334,6.632947863924669,5.263271818163781
2004,87,1183,252356,252356.0,1009424.0,306.4600000000001,0.0,1.1800000000000002,34.2,15.4,11.34,100.6,79.0,20.6,7.3,16.436700534166018,6.671,9.025,117.33,0.46878219657943543,1.0,0.0,9.58447589912663,1.5355291730729603,2.8313176623500134,6.9453470494063945,5.195834456085847
